name,type,source,producers,genre,studio,episodes,airing,duration,rating,score,scored_by,rank,popularity,members,favorites
Cowboy Bebop,TV,Original,['Bandai Visual'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",['Sunrise'],26.0,False,24 min per ep,R - 17+ (violence & profanity),8.81,405664.0,26.0,39.0,795733.0,43460.0
Cowboy Bebop: Tengoku no Tobira,Movie,Original,"['Sunrise', 'Bandai Visual']","['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",['Bones'],1.0,False,1 hr 55 min,R - 17+ (violence & profanity),8.41,120243.0,164.0,449.0,197791.0,776.0
Trigun,TV,Manga,['Victor Entertainment'],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",['Madhouse'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,8.3,212537.0,255.0,146.0,408548.0,10432.0
Witch Hunter Robin,TV,Original,['Bandai Visual'],"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",['Sunrise'],26.0,False,25 min per ep,PG-13 - Teens 13 or older,7.33,32837.0,2371.0,1171.0,79397.0,537.0
Bouken Ou Beet,TV,Manga,"['TV Tokyo', 'Dentsu']","['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",['Toei Animation'],52.0,False,23 min per ep,PG - Children,7.03,4894.0,3544.0,3704.0,11708.0,14.0
Hachimitsu to Clover,TV,Manga,"['Genco', 'Fuji TV', 'Shueisha']","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",['J.C.Staff'],24.0,False,23 min per ep,PG-13 - Teens 13 or older,8.12,57065.0,419.0,536.0,172274.0,3752.0
Hungry Heart: Wild Striker,TV,Manga,[],"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",['Nippon Animation'],52.0,False,23 min per ep,PG-13 - Teens 13 or older,7.67,9307.0,1186.0,3124.0,17145.0,210.0
Initial D Fourth Stage,TV,Manga,"['OB Planning', 'Studio Jack']","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",['A.C.G.T.'],24.0,False,27 min per ep,PG-13 - Teens 13 or older,8.23,42555.0,298.0,1262.0,73438.0,635.0
Monster,TV,Manga,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']","['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",['Madhouse'],74.0,False,24 min per ep,R+ - Mild Nudity,8.69,131233.0,49.0,156.0,394387.0,19188.0
Naruto,TV,Manga,"['TV Tokyo', 'Aniplex', 'Shueisha']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",['Studio Pierrot'],220.0,False,23 min per ep,PG-13 - Teens 13 or older,7.9,716412.0,705.0,10.0,1091313.0,39356.0
